iter	Logloss
0	0.6518418037
1	0.6141603257
2	0.5825961111
3	0.5531178814
4	0.5271164063
5	0.5028941474
6	0.4804830559
7	0.4598073849
8	0.4447951759
9	0.4301670014
10	0.4161451801
11	0.4033575169
12	0.39257997
13	0.3814910567
14	0.3707129564
15	0.3613961271
16	0.3535750186
17	0.3461545926
18	0.3387461078
19	0.3324737248
20	0.3262407047
21	0.3213247881
22	0.3165594527
23	0.3112135673
24	0.3063093946
25	0.3026193762
26	0.2972296257
27	0.2929777273
28	0.2896349553
29	0.2860199051
30	0.2836577139
31	0.2808377041
32	0.2777436458
33	0.2755190189
34	0.2737833032
35	0.2707458408
36	0.2686935215
37	0.267129961
38	0.2651260412
39	0.2631276673
40	0.2617173377
41	0.2598298528
42	0.2580929401
43	0.2571857136
44	0.2550884774
45	0.2536612414
46	0.2524221543
47	0.2515878774
48	0.2505937704
49	0.2484190404
50	0.2475488946
51	0.2457607262
52	0.2450601995
53	0.2441487829
54	0.2430171441
55	0.2426051037
56	0.2417316213
57	0.2407453311
58	0.240064296
59	0.2392351832
60	0.2387882663
61	0.2383709894
62	0.2379518191
63	0.2374194385
64	0.2364978837
65	0.2360023123
66	0.2352782398
67	0.234516761
68	0.2342726906
69	0.2329418106
70	0.2322013286
71	0.2318501096
72	0.2313155464
73	0.2308099993
74	0.2304302514
75	0.2299775185
76	0.2295098286
77	0.2281599699
78	0.2278975445
79	0.2274608051
80	0.2267344822
81	0.2263784516
82	0.2261057982
83	0.2258342144
84	0.225646158
85	0.2254248366
86	0.2248072394
87	0.2242559966
88	0.2233022966
89	0.2230006463
90	0.222836603
91	0.222681483
92	0.2219602893
93	0.2217857392
94	0.2212121322
95	0.2208865751
96	0.2207519569
97	0.2205028794
98	0.220220765
99	0.2200353471
100	0.2197704584
101	0.2195760985
102	0.2194841246
103	0.219356739
104	0.2188872429
105	0.2185552152
106	0.2183332769
107	0.2181043489
108	0.2177789716
109	0.2176557911
110	0.2174281438
111	0.2173140589
112	0.2170504866
113	0.2165365127
114	0.2163993008
115	0.2162254027
116	0.2161004801
117	0.2159517431
118	0.2157878416
119	0.2156535615
120	0.2155832149
121	0.2154249179
122	0.2153308503
123	0.2151451767
124	0.214957014
125	0.2139976285
126	0.2138891047
127	0.2137420756
128	0.2135671374
129	0.2134156447
130	0.213282568
131	0.2131611492
132	0.213016972
133	0.2127451372
134	0.212465384
135	0.2122494588
136	0.211961988
137	0.2117388946
138	0.2115719926
139	0.2107609112
140	0.2104831125
141	0.2102981561
142	0.2101455965
143	0.2100614867
144	0.209842726
145	0.2096527591
146	0.2095512604
147	0.2091515399
148	0.2090687703
149	0.2089911876
150	0.2088163162
151	0.2087250743
152	0.2083562147
153	0.2081797447
154	0.2081304937
155	0.2080215339
156	0.2077150974
157	0.207582522
158	0.2074982682
159	0.2072677095
160	0.2066586021
161	0.2065277019
162	0.2063252208
163	0.2062037397
164	0.2061280064
165	0.2060871072
166	0.2059950565
167	0.205875657
168	0.2052963377
169	0.2049171292
170	0.2047948351
171	0.2045515944
172	0.2044985834
173	0.2043686919
174	0.204100098
175	0.2039974469
176	0.2038933861
177	0.2038327089
178	0.2037129926
179	0.2036315271
180	0.2035300139
181	0.2033262908
182	0.2032384044
183	0.203150565
184	0.2028403307
185	0.2025306042
186	0.2022407911
187	0.2021072242
188	0.2020299889
189	0.201946783
190	0.2018363381
191	0.2015365712
192	0.2013812728
193	0.2012646562
194	0.2011278884
195	0.201011634
196	0.2008643378
197	0.2007977249
198	0.2007031244
199	0.2004468223
200	0.2001703221
201	0.2000047921
202	0.199818221
203	0.1997524407
204	0.1995786514
205	0.1994695165
206	0.1992662345
207	0.1992019264
208	0.1989842319
209	0.1988906692
210	0.1986742728
211	0.1984656249
212	0.1983828202
213	0.1982696031
214	0.1981594122
215	0.1980509114
216	0.1979331511
217	0.1978311473
218	0.1977358442
219	0.1976782194
220	0.1975909523
221	0.1974635158
222	0.1973580048
223	0.197283069
224	0.1972050361
225	0.1970567651
226	0.1970057756
227	0.1968072757
228	0.1966821946
229	0.1966115615
230	0.1962889294
231	0.1961962851
232	0.1959592726
233	0.1958374108
234	0.1957071671
235	0.1955982165
236	0.1955425026
237	0.195341694
238	0.1952606391
239	0.195156236
240	0.1950799461
241	0.1949402649
242	0.1948766941
243	0.1947672214
244	0.194708095
245	0.1946086178
246	0.1944765457
247	0.1944036139
248	0.1942470053
249	0.1941701806
250	0.1941200727
251	0.1940473854
252	0.1938920198
253	0.193658797
254	0.1930924537
255	0.1930051018
256	0.1929458981
257	0.1925215831
258	0.1924314543
259	0.1923490228
260	0.1918720354
261	0.1916269451
262	0.191474862
263	0.1913806516
264	0.1912232823
265	0.1910969211
266	0.191036291
267	0.1906240042
268	0.1905226981
269	0.1904317538
270	0.1902985255
271	0.190134725
272	0.1900464342
273	0.1895996167
274	0.1895408923
275	0.1895122189
276	0.1893947122
277	0.1892349649
278	0.1891599112
279	0.1889998807
280	0.1889148091
281	0.1888495103
282	0.1887085022
283	0.1885282364
284	0.1883998372
285	0.1880783236
286	0.1879687746
287	0.1878624881
288	0.1877445621
289	0.1876662103
290	0.1875831312
291	0.1875248646
292	0.1874022809
293	0.1873384079
294	0.1872695007
295	0.1870711602
296	0.1870076105
297	0.1869896648
298	0.1869296364
299	0.1868699323
300	0.1868381117
301	0.1866762892
302	0.18658606
303	0.1864323188
304	0.1863243243
305	0.1861672295
306	0.1860458531
307	0.1855259638
308	0.1853737395
309	0.1852656746
310	0.1848628157
311	0.1847628121
312	0.1846735013
313	0.1843537852
314	0.1842281088
315	0.1841120394
316	0.1839989617
317	0.1839282337
318	0.1837879472
319	0.1837045292
320	0.1836152847
321	0.1834927184
322	0.1834217745
323	0.1832777667
324	0.1830016809
325	0.1829333294
326	0.1828455792
327	0.1827336391
328	0.1826519257
329	0.1826075041
330	0.1825984148
331	0.1825014467
332	0.1824618686
333	0.1823530719
334	0.1820238649
335	0.1819814266
336	0.1819495736
337	0.1818220195
338	0.1817332115
339	0.1816668247
340	0.1815309357
341	0.1814138904
342	0.1813011957
343	0.1810141303
344	0.1809083203
345	0.1808249719
346	0.1805774724
347	0.1804854894
348	0.1803750146
349	0.1803147253
350	0.1801377697
351	0.1800485069
352	0.1799529935
353	0.1798305899
354	0.1797078574
355	0.1796111269
356	0.1794311687
357	0.179410311
358	0.17936942
359	0.1793193295
360	0.1788195874
361	0.1787123371
362	0.1785663384
363	0.1784745239
364	0.1783909729
365	0.1783163043
366	0.1782785566
367	0.1781933244
368	0.1778721829
369	0.1777762501
370	0.1777064828
371	0.1776507538
372	0.1776130732
373	0.1770566981
374	0.1769942798
375	0.1768937556
376	0.1768208008
377	0.1767096358
378	0.1766151431
379	0.1764759034
380	0.1762304782
381	0.1762022181
382	0.1760860451
383	0.1760468928
384	0.1759949399
385	0.1759406242
386	0.1759232781
387	0.1758773798
388	0.1758431645
389	0.1757710547
390	0.175635157
391	0.1755487594
392	0.1753402994
393	0.1752955089
394	0.175285583
395	0.1751570679
396	0.1750717905
397	0.1749457479
398	0.1748386801
399	0.1747527446
400	0.1741419157
401	0.1740538814
402	0.1738554076
403	0.1737693733
404	0.1736832411
405	0.1735951807
406	0.1735411602
407	0.1733580251
408	0.1732608951
409	0.173164257
410	0.1730209087
411	0.1728153651
412	0.1727149091
413	0.1726385957
414	0.1725404217
415	0.1724428262
416	0.172316207
417	0.1720990393
418	0.1718517333
419	0.1716703971
420	0.1716352507
421	0.171568586
422	0.1714565222
423	0.1713574478
424	0.1712585106
425	0.1711784008
426	0.1710900765
427	0.1709368522
428	0.1707154486
429	0.1706575324
430	0.170646555
431	0.1705805953
432	0.1704893352
433	0.1703424331
434	0.1702800243
435	0.1702286136
436	0.1701648209
437	0.1701117482
438	0.1699096466
439	0.1698261083
440	0.169752667
441	0.1697215762
442	0.1696745497
443	0.1695837681
444	0.1695188296
445	0.1692440488
446	0.1691607216
447	0.1690287105
448	0.1689903896
449	0.1688785313
450	0.1687925119
451	0.1687043485
452	0.168603618
453	0.1685066434
454	0.1683535547
455	0.1682700266
456	0.1680815689
457	0.1679521295
458	0.1678689784
459	0.1677296556
460	0.1675565983
461	0.1674398927
462	0.1672808883
463	0.1671579405
464	0.1669939003
465	0.1669236195
466	0.1668587207
467	0.1667823033
468	0.1666354487
469	0.1661372334
470	0.1660651552
471	0.1656667024
472	0.1655622221
473	0.1653576812
474	0.1652563937
475	0.1651335928
476	0.1649718849
477	0.1648615081
478	0.1647591908
479	0.1645701521
480	0.1644939035
481	0.1644283974
482	0.1643960851
483	0.1643562216
484	0.1642869113
485	0.1640554532
486	0.1639071545
487	0.1637831818
488	0.1637395109
489	0.1636750866
490	0.163608005
491	0.1635103713
492	0.1634686691
493	0.1634387944
494	0.1633842909
495	0.1632971906
496	0.1632908295
497	0.1632511677
498	0.1631812676
499	0.1631311002
500	0.163067624
501	0.1627496926
502	0.1626879042
503	0.1626017075
504	0.1623744895
505	0.1622409116
506	0.1621446506
507	0.1621125338
508	0.1620575906
509	0.1616704397
510	0.1615915388
511	0.1613640784
512	0.1612522005
513	0.1609620332
514	0.16072023
515	0.1606533698
516	0.1605165136
517	0.1604394664
518	0.1603504531
519	0.1602077075
520	0.1600912894
521	0.160032859
522	0.1598982507
523	0.1597620682
524	0.1597150987
525	0.1596813797
526	0.1596200312
527	0.1596112844
528	0.1595530386
529	0.1595118967
530	0.1593373688
531	0.1592665867
532	0.1592313177
533	0.1591706993
534	0.1591322427
535	0.1590552265
536	0.1589939555
537	0.1589235372
538	0.158739674
539	0.1587161684
540	0.1586850448
541	0.1585967228
542	0.1585741719
543	0.1584888175
544	0.1584441793
545	0.1584418378
546	0.1584373784
547	0.1581519283
548	0.1581153422
549	0.1580825987
550	0.157972067
551	0.1578650494
552	0.1578036702
553	0.1577762751
554	0.1576966997
555	0.1576576426
556	0.1576136498
557	0.1575576776
558	0.1575302976
559	0.1574567355
560	0.1574538876
561	0.1573284316
562	0.1572443721
563	0.1571786093
564	0.1570967173
565	0.1570664779
566	0.1570455536
567	0.1569851395
568	0.1569325804
569	0.1568199252
570	0.156767447
571	0.1567195591
572	0.15671778
573	0.1566326456
574	0.1565872497
575	0.1564606911
576	0.1561665369
577	0.1560636775
578	0.1559908913
579	0.1559394944
580	0.1558524672
581	0.1557627768
582	0.1556851488
583	0.1556470033
584	0.1555798176
585	0.1555358925
586	0.1554920266
587	0.1554547187
588	0.1553975307
589	0.1553564129
590	0.1552772951
591	0.155177589
592	0.1550942045
593	0.1550463085
594	0.1548196573
595	0.1547655344
596	0.1546955006
597	0.1546302432
598	0.1542498343
599	0.1541643714
600	0.1540250873
601	0.1538215834
602	0.1537479648
603	0.1536515324
604	0.1535959794
605	0.153523313
606	0.153443441
607	0.1533796304
608	0.1533101638
609	0.1532747086
610	0.1532227575
611	0.1531337247
612	0.1527551368
613	0.1527159118
614	0.1526600963
615	0.1526270229
616	0.1525131241
617	0.1523719189
618	0.1521531287
619	0.1520703504
620	0.1519942423
621	0.1519167162
622	0.1518591004
623	0.1518261086
624	0.1517604962
625	0.1516311628
626	0.1515657641
627	0.1514827928
628	0.1514060114
629	0.1513439651
630	0.1511073688
631	0.1508624725
632	0.150779674
633	0.1506806743
634	0.1506080409
635	0.1505490407
636	0.1505013114
637	0.1504699696
638	0.1504122288
639	0.1503563356
640	0.150309319
641	0.1502379084
642	0.1501490934
643	0.1500746219
644	0.1499969145
645	0.1499407798
646	0.1498644307
647	0.1498050963
648	0.1497039495
649	0.1496455386
650	0.1495940913
651	0.1495437022
652	0.1495172512
653	0.1493867237
654	0.1492437746
655	0.1491840219
656	0.1491276271
657	0.1490833852
658	0.1490273991
659	0.1490123329
660	0.1489619187
661	0.148860922
662	0.148817276
663	0.1487614307
664	0.1485453627
665	0.1484470862
666	0.1483977442
667	0.1483539837
668	0.1482256862
669	0.1481853491
670	0.1481333192
671	0.1480977084
672	0.1480186268
673	0.1479562118
674	0.1479365078
675	0.1477156221
676	0.1476869306
677	0.1476185354
678	0.147518059
679	0.1474891516
680	0.1474542935
681	0.1473937216
682	0.1473581219
683	0.1472568798
684	0.1472023047
685	0.1471141434
686	0.1470200658
687	0.1470194151
688	0.1469801694
689	0.146865239
690	0.1467970051
691	0.1465103946
692	0.1464583108
693	0.1463438366
694	0.1462785706
695	0.1460970242
696	0.1460353704
697	0.1460023194
698	0.1459738437
699	0.1459254925
700	0.145870702
701	0.1457655339
702	0.1457249288
703	0.1456679564
704	0.1456240894
705	0.1455833212
706	0.1455182607
707	0.1454470999
708	0.1454054129
709	0.1453616005
710	0.1453197116
711	0.1452916528
712	0.145215916
713	0.1452144115
714	0.1451483471
715	0.145084804
716	0.1450070193
717	0.1449646424
718	0.1448957088
719	0.1448211501
720	0.1447720248
721	0.1447714886
722	0.1444955286
723	0.1443541748
724	0.1441428983
725	0.1439789305
726	0.1439394074
727	0.1438345553
728	0.1437743594
729	0.1437543892
730	0.1436970629
731	0.1435999656
732	0.1433769277
733	0.1432878045
734	0.1432592518
735	0.1429940754
736	0.142887909
737	0.1425832694
738	0.142540708
739	0.1424391943
740	0.1424232363
741	0.1423604569
742	0.1423119382
743	0.1422533149
744	0.142220835
745	0.1421781909
746	0.1421516543
747	0.1420761106
748	0.1420214705
749	0.1419746821
750	0.1418742934
751	0.1418165384
752	0.1417132473
753	0.1416441012
754	0.1416186362
755	0.1415935939
756	0.1415177894
757	0.1414916385
758	0.1412933537
759	0.1412680369
760	0.1412045003
761	0.1411582847
762	0.1409660441
763	0.1409178141
764	0.1408277043
765	0.1407771351
766	0.1407143575
767	0.1406517726
768	0.1404483574
769	0.1403900419
770	0.1403103372
771	0.1400828823
772	0.1399618265
773	0.1398577025
774	0.1397406456
775	0.1397060596
776	0.1396798044
777	0.1396591715
778	0.1396226358
779	0.1395343774
780	0.1394852269
781	0.1394662144
782	0.1393824394
783	0.1392825142
784	0.1392574081
785	0.1392031781
786	0.1391668127
787	0.1391047278
788	0.13900782
789	0.1389421724
790	0.1388342608
791	0.1387908747
792	0.1386625056
793	0.138548902
794	0.1383795952
795	0.1383294683
796	0.1382746852
797	0.1382337167
798	0.1380386411
799	0.1379415705
800	0.137882494
801	0.1377413082
802	0.1377173926
803	0.1376355669
804	0.1374429489
805	0.1373612589
806	0.1372554508
807	0.137114862
808	0.1370579754
809	0.1370117707
810	0.1368848469
811	0.1367339212
812	0.1366956783
813	0.1366447014
814	0.1365991849
815	0.1365580456
816	0.1365026335
817	0.1364508844
818	0.1364254108
819	0.1363815493
820	0.1363407393
821	0.1363082913
822	0.1362741881
823	0.1362738412
824	0.1362069461
825	0.1361683507
826	0.1361554896
827	0.1361208676
828	0.1360872078
829	0.1360279208
830	0.1358553008
831	0.1356852146
832	0.135632924
833	0.1355900938
834	0.135514637
