iter	Passed	Remaining
0	7	7389
1	15	7911
2	22	7632
3	30	7619
4	37	7495
5	44	7362
6	53	7541
7	60	7558
8	69	7658
9	78	7731
10	86	7786
11	93	7738
12	101	7739
13	109	7703
14	118	7778
15	126	7774
16	134	7803
17	142	7778
18	150	7787
19	158	7755
20	166	7758
21	173	7717
22	181	7719
23	189	7723
24	198	7729
25	206	7719
26	214	7725
27	221	7702
28	229	7695
29	237	7689
30	245	7676
31	252	7650
32	260	7642
33	268	7625
34	275	7602
35	283	7604
36	291	7591
37	299	7591
38	307	7574
39	315	7583
40	323	7568
41	332	7575
42	340	7576
43	348	7573
44	356	7562
45	364	7560
46	371	7542
47	380	7544
48	388	7531
49	396	7536
50	404	7520
51	412	7514
52	420	7507
53	428	7506
54	436	7497
55	444	7493
56	452	7481
57	460	7480
58	468	7468
59	476	7460
60	484	7454
61	492	7452
62	500	7440
63	508	7436
64	516	7430
65	524	7420
66	532	7412
67	539	7400
68	547	7391
69	556	7391
70	563	7374
71	571	7361
72	579	7360
73	587	7348
74	595	7338
75	602	7322
76	610	7317
77	617	7303
78	625	7294
79	633	7281
80	641	7273
81	648	7262
82	656	7252
83	664	7245
84	672	7239
85	679	7225
86	687	7217
87	695	7205
88	702	7192
89	710	7183
90	718	7176
91	726	7168
92	733	7155
93	741	7146
94	749	7139
95	757	7133
96	764	7120
97	772	7111
98	780	7099
99	787	7088
100	795	7082
101	803	7076
102	811	7063
103	818	7052
104	826	7041
105	833	7030
106	841	7022
107	848	7010
108	856	7004
109	864	6991
110	871	6982
111	879	6973
112	887	6967
113	894	6954
114	902	6946
115	909	6933
116	917	6924
117	925	6915
118	932	6906
119	940	6895
120	947	6884
121	956	6886
122	965	6886
123	974	6885
124	983	6886
125	993	6889
126	1003	6896
127	1013	6904
128	1023	6910
129	1032	6910
130	1041	6908
131	1050	6908
132	1059	6909
133	1069	6910
134	1078	6911
135	1091	6936
136	1109	6986
137	1120	6998
138	1131	7006
139	1138	6994
140	1145	6981
141	1154	6974
142	1162	6964
143	1170	6957
144	1178	6951
145	1187	6947
146	1195	6940
147	1204	6933
148	1213	6929
149	1222	6930
150	1232	6930
151	1241	6928
152	1252	6935
153	1262	6936
154	1271	6932
155	1280	6927
156	1289	6922
157	1298	6919
158	1307	6913
159	1315	6906
160	1323	6898
161	1333	6897
162	1340	6884
163	1349	6879
164	1357	6868
165	1365	6858
166	1372	6846
167	1381	6839
168	1389	6830
169	1396	6820
170	1404	6808
171	1412	6799
172	1420	6789
173	1429	6787
174	1437	6778
175	1445	6768
176	1455	6769
177	1464	6761
178	1472	6751
179	1480	6744
180	1488	6734
181	1496	6727
182	1504	6717
183	1513	6711
184	1521	6702
185	1529	6694
186	1537	6683
187	1545	6673
188	1552	6662
189	1560	6653
190	1568	6641
191	1575	6631
192	1584	6623
193	1591	6613
194	1599	6604
195	1607	6594
196	1616	6588
197	1624	6578
198	1631	6567
199	1639	6558
200	1647	6549
201	1655	6540
202	1664	6534
203	1673	6528
204	1681	6521
205	1690	6515
206	1699	6509
207	1708	6505
208	1716	6498
209	1727	6497
210	1736	6493
211	1746	6491
212	1755	6486
213	1764	6480
214	1773	6476
215	1782	6469
216	1791	6464
217	1800	6458
218	1810	6455
219	1819	6451
220	1828	6445
221	1837	6437
222	1845	6430
223	1854	6425
224	1864	6420
225	1873	6414
226	1881	6407
227	1891	6403
228	1899	6394
229	1908	6387
230	1916	6379
231	1925	6373
232	1933	6363
233	1942	6358
234	1952	6354
235	1961	6348
236	1970	6344
237	1979	6336
238	1989	6333
239	1997	6325
240	2006	6320
241	2015	6311
242	2024	6307
243	2033	6300
244	2042	6294
245	2051	6287
246	2059	6280
247	2069	6275
248	2079	6270
249	2088	6264
250	2096	6255
251	2105	6248
252	2113	6240
253	2122	6232
254	2129	6222
255	2138	6215
256	2146	6205
257	2155	6200
258	2163	6190
259	2172	6183
260	2180	6175
261	2189	6168
262	2198	6161
263	2207	6154
264	2216	6147
265	2225	6140
266	2234	6133
267	2242	6125
268	2251	6119
269	2259	6110
270	2268	6102
271	2276	6092
272	2285	6086
273	2293	6076
274	2302	6069
275	2309	6058
276	2318	6051
277	2327	6043
278	2336	6038
279	2346	6034
280	2355	6026
281	2363	6018
282	2371	6009
283	2380	6001
284	2388	5992
285	2397	5984
286	2405	5975
287	2413	5967
288	2421	5958
289	2429	5948
290	2437	5938
291	2445	5929
292	2453	5919
293	2461	5910
294	2469	5900
295	2476	5891
296	2484	5880
297	2491	5869
298	2499	5860
299	2507	5849
300	2514	5840
301	2523	5832
302	2532	5824
303	2539	5814
304	2548	5806
305	2555	5796
306	2563	5787
307	2571	5778
308	2581	5772
309	2588	5761
310	2597	5753
311	2604	5742
312	2612	5733
313	2620	5724
314	2628	5716
315	2636	5707
316	2644	5698
317	2652	5689
318	2661	5681
319	2669	5673
320	2678	5666
321	2687	5658
322	2696	5651
323	2705	5644
324	2714	5637
325	2722	5628
326	2730	5620
327	2739	5612
328	2749	5606
329	2758	5599
330	2766	5590
331	2775	5584
332	2783	5575
333	2792	5567
334	2800	5559
335	2808	5549
336	2816	5540
337	2824	5532
338	2832	5523
339	2841	5516
340	2849	5507
341	2858	5499
342	2866	5490
343	2876	5484
344	2884	5476
345	2892	5468
346	2901	5459
347	2910	5452
348	2918	5443
349	2926	5434
350	2933	5424
351	2941	5415
352	2949	5406
353	2958	5398
354	2965	5388
355	2975	5382
356	2982	5372
357	2990	5363
358	2999	5355
359	3007	5347
360	3016	5339
361	3026	5334
362	3034	5325
363	3043	5317
364	3051	5309
365	3060	5300
366	3067	5291
367	3076	5283
368	3084	5274
369	3093	5266
370	3102	5260
371	3111	5252
372	3120	5245
373	3128	5237
374	3137	5229
375	3145	5220
376	3154	5212
377	3162	5203
378	3171	5195
379	3179	5187
380	3188	5179
381	3196	5171
382	3205	5163
383	3213	5155
384	3222	5147
385	3230	5139
386	3239	5130
387	3247	5121
388	3255	5113
389	3263	5104
390	3272	5097
391	3280	5087
392	3289	5080
393	3297	5071
394	3305	5062
395	3313	5054
396	3322	5046
397	3330	5037
398	3338	5029
399	3347	5020
400	3355	5012
401	3364	5004
402	3372	4995
403	3380	4987
404	3387	4976
405	3395	4968
406	3403	4959
407	3411	4950
408	3420	4942
409	3429	4934
410	3437	4925
411	3446	4918
412	3453	4908
413	3462	4901
414	3470	4892
415	3479	4884
416	3487	4875
417	3495	4867
418	3503	4857
419	3510	4847
420	3517	4837
421	3525	4829
422	3533	4820
423	3541	4811
424	3549	4802
425	3558	4794
426	3566	4786
427	3575	4778
428	3584	4770
429	3593	4763
430	3601	4754
431	3610	4746
432	3620	4740
433	3629	4732
434	3637	4725
435	3647	4718
436	3657	4711
437	3667	4705
438	3675	4697
439	3683	4687
440	3691	4678
441	3698	4668
442	3705	4659
443	3712	4649
444	3720	4640
445	3728	4630
446	3735	4621
447	3743	4612
448	3751	4603
449	3759	4594
450	3767	4586
451	3775	4577
452	3782	4567
453	3790	4558
454	3800	4552
455	3808	4543
456	3815	4533
457	3823	4524
458	3830	4515
459	3838	4506
460	3845	4496
461	3853	4487
462	3861	4478
463	3869	4469
464	3877	4461
465	3884	4451
466	3892	4443
467	3900	4433
468	3908	4424
469	3916	4416
470	3924	4407
471	3932	4398
472	3939	4389
473	3946	4379
474	3954	4370
475	3961	4361
476	3969	4352
477	3977	4343
478	3985	4334
479	3993	4326
480	4001	4317
481	4009	4308
482	4016	4299
483	4024	4290
484	4032	4281
485	4040	4273
486	4048	4264
487	4057	4256
488	4064	4247
489	4072	4238
490	4080	4229
491	4088	4221
492	4095	4212
493	4103	4203
494	4110	4194
495	4119	4185
496	4126	4176
497	4134	4167
498	4142	4158
499	4149	4149
500	4158	4141
501	4166	4132
502	4173	4123
503	4180	4114
504	4189	4106
505	4196	4096
506	4204	4088
507	4211	4079
508	4219	4070
509	4227	4061
510	4235	4052
511	4242	4043
512	4250	4035
513	4258	4026
514	4267	4018
515	4275	4010
516	4284	4002
517	4292	3994
518	4301	3986
519	4309	3977
520	4318	3970
521	4326	3961
522	4334	3953
523	4342	3944
524	4350	3936
525	4357	3927
526	4365	3918
527	4372	3909
528	4380	3900
529	4388	3891
530	4396	3883
531	4404	3874
532	4412	3866
533	4420	3857
534	4428	3849
535	4436	3840
536	4444	3832
537	4452	3823
538	4461	3815
539	4469	3807
540	4476	3798
541	4484	3789
542	4491	3780
543	4499	3772
544	4507	3763
545	4514	3754
546	4522	3744
547	4530	3736
548	4537	3727
549	4544	3718
550	4552	3709
551	4559	3700
552	4567	3692
553	4575	3683
554	4584	3676
555	4592	3667
556	4600	3659
557	4609	3650
558	4617	3643
559	4626	3635
560	4635	3627
